,image_link,group_id,entity_name,entity_value,numeric_value,unit
0,https://m.media-amazon.com/images/I/71IYBrrhhPL.jpg,329793,item_weight,10.0 gram,10.0,gram
1,https://m.media-amazon.com/images/I/71+jJon4gvL.jpg,752266,wattage,60.0 watt,60.0,watt
2,https://m.media-amazon.com/images/I/61XjZX0WmSL.jpg,557758,item_volume,150.0 millilitre,150.0,millilitre
3,https://m.media-amazon.com/images/I/51m6YFdrhlL.jpg,916768,item_volume,2.0 litre,2.0,litre
4,https://m.media-amazon.com/images/I/61aaD5DAYuL.jpg,299791,item_weight,10.0 gram,10.0,gram
5,https://m.media-amazon.com/images/I/61-asaojtfL.jpg,304120,width,4.7 centimetre,4.7,centimetre
6,https://m.media-amazon.com/images/I/615DTwr977L.jpg,220662,depth,8.0 centimetre,8.0,centimetre
7,https://m.media-amazon.com/images/I/618GB9lktgL.jpg,866516,depth,9.5 centimetre,9.5,centimetre
8,https://m.media-amazon.com/images/I/611zqCjbHxL.jpg,970563,width,6.0 centimetre,6.0,centimetre
9,https://m.media-amazon.com/images/I/71m5VuiSXKL.jpg,179080,voltage,36.0 volt,36.0,volt
10,https://m.media-amazon.com/images/I/61+F3kRfYkL.jpg,594224,width,10.0 centimetre,10.0,centimetre
11,https://m.media-amazon.com/images/I/81P2ZPP+DgL.jpg,892291,wattage,2.5 watt,2.5,watt
12,https://m.media-amazon.com/images/I/71mFFcXRmAL.jpg,375816,item_weight,126.0 gram,126.0,gram
13,https://m.media-amazon.com/images/I/71jUm3teMwL.jpg,271537,voltage,12.0 volt,12.0,volt
14,https://m.media-amazon.com/images/I/51gZsULTY-L.jpg,640031,height,37.0 millimetre,37.0,millimetre
15,https://m.media-amazon.com/images/I/41+tPg6+KIS.jpg,192915,height,4.9 inch,4.9,inch
16,https://m.media-amazon.com/images/I/71Xs6Js3ZFL.jpg,204245,maximum_weight_recommendation,110 kilogram,110.0,kilogram
17,https://m.media-amazon.com/images/I/51dB7Uaz2kL.jpg,858439,height,17.5 centimetre,17.5,centimetre
18,https://m.media-amazon.com/images/I/61BFBS7WytL.jpg,369753,item_volume,120.0 millilitre,120.0,millilitre
19,https://m.media-amazon.com/images/I/41YMONZR41L.jpg,826444,height,14.95 centimetre,14.95,centimetre
20,https://m.media-amazon.com/images/I/71fsOcvB0iS.jpg,709627,voltage,3.82 volt,3.82,volt
21,https://m.media-amazon.com/images/I/61N0cz4a8cL.jpg,486636,item_weight,60.0 gram,60.0,gram
22,https://m.media-amazon.com/images/I/61-81CXK4GL.jpg,675317,width,58.0 millimetre,58.0,millimetre
23,https://m.media-amazon.com/images/I/51kQ6SnnrRL.jpg,752266,depth,19.0 centimetre,19.0,centimetre
24,https://m.media-amazon.com/images/I/51B4UBDlztL.jpg,846116,width,2.76 inch,2.76,inch
25,https://m.media-amazon.com/images/I/61GHW7qp1wL.jpg,318770,wattage,60.0 watt,60.0,watt
26,https://m.media-amazon.com/images/I/517Lx2m2f6L.jpg,492988,height,20.0 centimetre,20.0,centimetre
27,https://m.media-amazon.com/images/I/511AbanXZ8L.jpg,267482,item_weight,50 gram,50.0,gram
28,https://m.media-amazon.com/images/I/71Y4MqYBLwL.jpg,318770,wattage,60.0 watt,60.0,watt
29,https://m.media-amazon.com/images/I/612oCxomxWL.jpg,592333,depth,17.0 millimetre,17.0,millimetre
30,https://m.media-amazon.com/images/I/71+xVwwrrHL.jpg,120219,maximum_weight_recommendation,5.0 kilogram,5.0,kilogram
31,https://m.media-amazon.com/images/I/61N6oFVP6aL.jpg,611510,maximum_weight_recommendation,150 kilogram,150.0,kilogram
32,https://m.media-amazon.com/images/I/71gAlEgSMqL.jpg,752266,wattage,150.0 watt,150.0,watt
33,https://m.media-amazon.com/images/I/61A6I7Q+hTL.jpg,784538,depth,43.0 centimetre,43.0,centimetre
34,https://m.media-amazon.com/images/I/71vMy2FE9lL.jpg,276700,wattage,100.0 watt,100.0,watt
35,https://m.media-amazon.com/images/I/61UpP04Go3L.jpg,752266,wattage,60.0 watt,60.0,watt
36,https://m.media-amazon.com/images/I/51nLJuNpbaL.jpg,120219,maximum_weight_recommendation,0.85 pound,0.85,pound
37,https://m.media-amazon.com/images/I/614m5QZfyGL.jpg,881883,width,150.0 centimetre,150.0,centimetre
38,https://m.media-amazon.com/images/I/819gMmmzGFL.jpg,318770,wattage,20.0 watt,20.0,watt
39,https://m.media-amazon.com/images/I/517FpTY5z2L.jpg,592333,height,20.0 millimetre,20.0,millimetre
40,https://m.media-amazon.com/images/I/91xQmJ8gDuL.jpg,281678,item_weight,37.0 gram,37.0,gram
41,https://m.media-amazon.com/images/I/61BvJ60Q6SL.jpg,913156,depth,11.02 inch,11.02,inch
42,https://m.media-amazon.com/images/I/71raRVfIPsL.jpg,459516,item_volume,160.0 millilitre,160.0,millilitre
43,https://m.media-amazon.com/images/I/61yWnoT1FeL.jpg,752266,wattage,30.0 watt,30.0,watt
44,https://m.media-amazon.com/images/I/51aVlHTIvpL.jpg,487566,depth,100.0 centimetre,100.0,centimetre
45,https://m.media-amazon.com/images/I/51eNuaPTkrL.jpg,237000,height,90.0 inch,90.0,inch
46,https://m.media-amazon.com/images/I/61BfN3nC8fL.jpg,752266,width,210.0 millimetre,210.0,millimetre
47,https://m.media-amazon.com/images/I/61kkDwbEyeL.jpg,507467,item_weight,16.0 ounce,16.0,ounce
48,https://m.media-amazon.com/images/I/71BBN16kAJL.jpg,459516,item_weight,100.0 gram,100.0,gram
49,https://m.media-amazon.com/images/I/51ismwh0KYL.jpg,978900,width,18.0 centimetre,18.0,centimetre
50,https://m.media-amazon.com/images/I/51nwnuu8AmL.jpg,208023,depth,17.0 inch,17.0,inch
51,https://m.media-amazon.com/images/I/711bx0b2frL.jpg,709627,voltage,20.0 volt,20.0,volt
52,https://m.media-amazon.com/images/I/719PiznkTvL.jpg,983323,wattage,3.0 watt,3.0,watt
53,https://m.media-amazon.com/images/I/41eTKcXixCL.jpg,731252,height,40.0 centimetre,40.0,centimetre
54,https://m.media-amazon.com/images/I/71mNLWW8DYL.jpg,731432,item_weight,50.0 milligram,50.0,milligram
55,https://m.media-amazon.com/images/I/618iboUFXcL.jpg,178958,maximum_weight_recommendation,110 pound,110.0,pound
56,https://m.media-amazon.com/images/I/51HRupafSvL.jpg,145452,height,10.5 inch,10.5,inch
57,https://m.media-amazon.com/images/I/710XhMmSrrL.jpg,748919,item_weight,50.0 gram,50.0,gram
58,https://m.media-amazon.com/images/I/51f8EQQiwUL.jpg,120219,maximum_weight_recommendation,3.0 gram,3.0,gram
59,https://m.media-amazon.com/images/I/61C+494qLzL.jpg,524117,height,24.0 inch,24.0,inch
60,https://m.media-amazon.com/images/I/51Qx2W9kHcL.jpg,375438,width,13.1 inch,13.1,inch
61,https://m.media-amazon.com/images/I/61C9r5wjpNL.jpg,727634,width,3.5 inch,3.5,inch
62,https://m.media-amazon.com/images/I/91+Zc34NxqL.jpg,844474,item_weight,40.0 milligram,40.0,milligram
63,https://m.media-amazon.com/images/I/61jn1d30aKL.jpg,969033,maximum_weight_recommendation,30 pound,30.0,pound
